statusId|sensorName|x|y|z|timestamp
17|Linear Acceleration|-0.044318438|-2.4598336|10.256763|1557968689380
17|Linear Acceleration|0.114827394|-2.5619783|10.133496|1557968689389
17|Linear Acceleration|0.40423846|-2.5027509|10.006346|1557968689399
17|Linear Acceleration|0.5328064|-2.0094795|10.299728|1557968689409
17|Linear Acceleration|0.33945298|-2.11232|10.315937|1557968689419
17|Linear Acceleration|0.734642|-2.6562033|10.030582|1557968689429
17|Linear Acceleration|1.030582|-2.939825|10.203787|1557968689438
17|Linear Acceleration|0.7730396|-2.9235115|10.554734|1557968689449
17|Linear Acceleration|0.35397005|-2.7349749|11.546772|1557968689459
17|Linear Acceleration|0.7817925|-2.6724324|11.9247265|1557968689469
17|Linear Acceleration|-0.037979126|-2.3108525|12.479432|1557968689478
17|Linear Acceleration|1.0980964|-3.197197|12.620559|1557968689488
17|Linear Acceleration|1.2345115|-3.358971|11.466336|1557968689498
17|Linear Acceleration|1.356048|-3.4701495|10.688215|1557968689508
17|Linear Acceleration|1.4622674|-3.4646|9.802867|1557968689518
17|Linear Acceleration|1.5698831|-3.4781775|9.125942|1557968689528
17|Linear Acceleration|1.4419472|-3.082014|8.819519|1557968689538
17|Linear Acceleration|1.1526762|-2.6764345|8.699678|1557968689548
17|Linear Acceleration|0.62216735|-2.347507|9.192519|1557968689557
17|Linear Acceleration|0.14462161|-2.177936|9.451958|1557968689567
17|Linear Acceleration|2.0575523E-4|-2.2221322|9.718405|1557968689578
17|Linear Acceleration|-0.004413128|-2.113988|10.238035|1557968689588
17|Linear Acceleration|0.13299799|-2.08393|10.766529|1557968689597
17|Linear Acceleration|0.5857408|-2.133544|10.918306|1557968689607
17|Linear Acceleration|1.0882711|-2.233541|10.498365|1557968689617
17|Linear Acceleration|1.4412475|-2.4426026|10.145718|1557968689628
17|Linear Acceleration|1.7279122|-2.7405248|9.898882|1557968689637
17|Linear Acceleration|1.7763125|-3.064993|9.52716|1557968689647
17|Linear Acceleration|1.8642708|-3.4576106|9.274114|1557968689657
17|Linear Acceleration|1.880674|-3.618547|9.186727|1557968689667
17|Linear Acceleration|1.9009544|-3.6297917|8.99613|1557968689678
17|Linear Acceleration|1.971229|-3.6359591|8.577736|1557968689687
17|Linear Acceleration|2.0561774|-3.4946818|8.419943|1557968689697
17|Linear Acceleration|3.1950336|-4.303855|8.032079|1557968689707
17|Linear Acceleration|4.3116636|-4.602138|8.227161|1557968689716
17|Linear Acceleration|4.87421|-4.525825|8.370915|1557968689727
17|Linear Acceleration|4.5558467|-4.375676|8.560161|1557968689737
